County,Tabulator,Batch #,# of ballots,Location
Adams,110,53,99,Box 110-4
Adams,110,54,100,Box 110-4
Adams,110,55,99,Box 110-4
Adams,110,56,100,Box 110-4
Adams,110,57,99,Box 110-5
Adams,110,58,100,Box 110-5
Adams,110,59,100,Box 110-5
Adams,110,60,100,Box 110-5
Adams,110,61,99,Box 110-5
Adams,110,62,100,Box 110-5
Adams,110,63,100,Box 110-5
Adams,110,64,100,Box 110-5
Adams,110,65,100,Box 110-5
Adams,110,66,100,Box 110-5
Adams,110,67,100,Box 110-5
Adams,110,68,100,Box 110-5
Adams,110,69,99,Box 110-5
Adams,110,70,99,Box 110-5
Adams,110,71,100,Box 110-5
Adams,110,72,99,Box 110-6
Adams,110,73,100,Box 110-6
